A1_L,A1_R,A2_L,A2_R,PCG_L
-1.6644,-1.8572,-2.4656,-2.1659,-1.1235
-1.5477,-1.3970,-1.8123,-1.7340,-0.9880
-1.0314,-0.4295,-1.3666,-1.1674,-1.3838
-0.8981,-0.5135,-1.3170,-1.1946,-1.7082
-0.2894,-0.7459,-1.1396,-0.9519,-1.1127
-0.2626,-0.4245,-0.8853,-0.9826,-0.6984
-0.0861,-0.1487,-0.0784,-0.5597,-1.1751
0.6560,0.3632,0.1467,0.2310,-0.2791
0.5728,0.3932,0.4475,0.3371,-0.1384
0.3763,0.4777,0.2396,0.4064,0.3865
0.2746,0.0364,-0.1864,0.0240,0.7788
-0.3787,-0.1777,-0.2552,-0.4207,0.4518
-0.8879,-0.7295,-0.4288,-0.6162,-0.2319
-0.2336,-0.4688,-0.1704,-0.0890,-0.9160
-0.6875,-0.5952,-0.2228,-0.5251,0.0388
-0.3697,-0.3327,0.4624,-0.0907,0.1828
0.1357,0.2760,0.6570,0.1703,1.1427
0.5921,0.2888,1.1467,0.7469,0.7785
0.4535,0.3219,0.9839,0.9578,0.3477
-0.2756,-0.0321,0.5171,0.5111,1.1816
0.0197,0.4439,0.7767,0.6243,0.8662
0.8409,0.5663,0.6671,0.8074,0.4044
0.6558,0.5985,0.2321,0.5309,-0.1095
0.3122,0.4821,0.7265,-0.0774,0.1410
-0.0873,0.4335,0.9099,0.6438,0.2354
0.4995,0.7383,1.1405,0.8254,0.6834
0.9207,0.5526,1.3211,0.8223,0.6505
0.3643,0.5258,0.7116,0.4800,1.5283
-0.0326,0.2290,0.6326,0.0433,1.3810
-0.0032,-0.0097,0.2536,0.2052,-0.3837
0.2939,0.1237,-0.3469,0.0483,-1.6667
0.2183,0.2164,-0.5636,-0.1693,-0.4250
-0.0345,0.2083,-0.7259,-0.5562,-0.2249
0.1264,0.3494,0.1201,0.1266,-0.2354
1.0696,0.7407,0.5628,0.6450,-0.4984
0.7133,0.6092,0.4031,0.5440,-0.4033
0.6327,0.5652,0.8054,0.4981,-0.2239
1.2145,0.7107,1.1896,0.8919,0.1360
1.4445,0.9329,1.3897,0.8890,0.4923
1.0332,0.8090,0.7047,1.1077,1.1432
-0.0246,-0.0501,0.0855,0.3437,0.5475
-0.6312,-0.4611,-0.0699,-0.2159,-0.7027
-1.0116,-1.0537,-1.2127,-0.3826,0.5051
-0.2613,-0.1074,-0.2687,0.0261,0.5123
-0.0075,0.0785,0.6069,0.3431,0.3657
0.2798,0.3991,0.9206,1.0670,0.8196
0.3966,0.3721,0.4932,0.7878,0.3056
0.1525,-0.0279,0.0941,0.7271,0.2025
-0.1475,-0.2571,-0.2022,-0.0732,-0.1131
-0.1184,-0.3065,0.2312,-0.1342,0.1392
0.8651,0.2142,0.4616,0.1872,0.4251
0.7664,0.2566,0.2886,0.3660,0.1340
0.1341,-0.0004,-0.3401,0.1639,0.2567
-0.8864,-0.6529,-0.6882,-0.6331,-0.3236
-0.8442,-0.6063,-0.8672,-0.4911,-0.5166
-0.3973,-0.4643,-0.8204,-0.4305,-0.5196
-0.2919,-0.2177,-0.2799,-0.2019,0.0223
-0.7534,-0.2778,-0.7347,0.0640,-0.1926
-1.4703,-0.6376,-1.0497,-0.2714,-0.4693
-1.2246,-0.8885,-0.2536,-0.2520,-0.2965
-0.1175,-0.3157,-0.1368,0.0926,0.3180
0.3545,-0.2064,0.0887,-0.2379,0.4713
-0.2280,0.0757,0.1132,0.1866,0.2328
-0.4371,0.2690,0.2309,0.5015,-0.1645
0.0137,0.5617,0.4612,0.7598,0.3510
0.7157,0.5362,-0.0682,0.4325,0.1601
0.8325,0.5034,0.0638,0.1282,-0.1585
0.0896,0.4222,-0.0902,0.1836,0.4503
-0.3781,-0.2351,-0.3730,0.1001,0.8110
-0.6846,-0.5884,-0.7390,-0.7093,-0.0765
-0.5970,-0.5830,-0.2431,-0.1889,-0.5663
0.1294,-0.0206,0.1959,0.2745,-0.7024
