IPL_R,IPL_L,mPFC_L,mPFC_R,MFG_L,MFG_R,MTG_L,MTG_R,PCC_L,PCC_R
-0.0049,1.3900,0.0286,0.1011,1.9285,0.7726,-0.8124,-1.1615,0.9223,0.2547
0.0424,1.0981,-0.3946,-0.3546,0.9572,-0.0435,-0.3000,-1.4099,0.4921,-0.1116
0.0037,0.1618,-0.2722,-0.1786,0.2728,-0.0552,-0.2704,-0.4915,-0.1827,-0.4368
0.0652,0.4020,-0.1329,0.0109,0.3557,-0.2679,-0.2845,0.0766,0.0037,-0.3383
0.1531,0.3096,1.1521,1.0556,0.8143,0.4734,0.0251,-0.2197,-0.0207,-0.0748
0.7045,1.1816,1.4576,1.1010,0.8497,0.8280,-0.3546,1.2467,0.6630,0.5656
0.0184,0.0773,0.3043,0.2096,0.1494,0.3987,-0.1670,-0.2171,-0.3843,-0.2185
-0.3667,-0.2006,-0.8153,-0.9389,-0.5531,-0.4090,-0.4415,-0.7229,-0.6846,-0.5305
-0.9945,-0.6593,-0.4424,-0.0122,0.1630,-0.0652,-0.3119,-1.0071,-1.2587,-1.0202
-0.4448,-0.3425,0.2275,0.2224,-0.2200,-0.1295,0.0798,-0.0324,-0.6930,-0.4872
-0.1440,-0.4933,0.4089,0.4560,-0.2153,-0.1823,-0.2699,0.1060,-0.4126,-0.3876
-0.2002,-0.2419,0.5160,0.5047,-0.1756,-0.2046,0.3276,0.1183,0.0406,-0.2869
-0.2182,-0.2267,0.7850,0.7856,-0.2008,-0.0128,0.2098,0.2407,0.1569,0.0212
0.3537,-0.3337,0.5835,0.3769,-0.5271,-0.2047,0.6360,0.6640,0.0297,0.1929
-0.0629,-0.8850,0.2731,0.4745,-0.9091,-0.2493,0.0365,-0.1425,-0.6337,-0.2098
-0.2635,-0.3975,-0.3934,-0.2142,-0.7370,-0.4774,-0.2117,0.0271,-0.3834,-0.3628
-0.4514,-0.4366,-0.7810,-0.6390,-0.1273,-0.1085,-1.1888,-0.5508,-0.5705,-0.6922
