A1_L,A1_R,A2_L,A2_R,PCG_L
-1.4205,-1.4329,-1.7027,-2.0004,0.2258
-1.0941,-1.4646,-1.5715,-2.2483,0.1885
-0.7784,-0.7914,-1.3052,-1.8596,-0.6939
0.3089,0.0639,-0.3990,-0.6252,-0.0776
0.9831,0.6153,-0.1634,0.2985,-0.3480
1.1887,0.8998,0.8221,0.5606,0.4510
0.9917,1.1813,0.5239,0.5337,0.1694
1.2488,0.7241,0.0065,-0.2378,-0.5534
0.1967,0.0669,-1.7183,-0.9238,-0.8444
-0.0143,-0.4610,-1.2789,-1.3219,-1.0981
0.3117,0.0854,-0.5585,-0.5197,-0.7964
0.4414,0.2067,-0.3253,-0.4277,-0.4085
0.5955,0.4716,0.5209,0.4910,0.3235
1.1316,0.4310,0.9831,0.5147,-0.2036
0.1227,0.5941,0.6147,0.9297,0.6941
0.1404,0.1817,0.2435,1.1715,0.5461
0.0314,0.0252,0.7051,0.8177,0.5692
-0.9301,-0.3517,0.0025,0.1268,-0.3409
-0.4049,-1.0037,0.1731,-0.1071,-0.0562
-0.1956,-0.6218,0.1684,0.7985,-0.3420
-0.2205,-1.0664,0.2153,-0.3241,-0.4468
-0.0053,-0.4590,0.7729,0.1337,0.2230
0.2155,0.1566,0.3491,0.5318,0.7217
-0.1285,-0.2374,0.4319,-0.0581,0.9432
-0.4167,-0.2335,0.1737,0.2489,0.6393
-0.7120,-0.0678,-0.4482,0.4869,-0.4291
-0.5707,0.2879,0.0146,0.1585,0.1565
-0.6952,-0.4138,-0.3777,-0.5193,-0.6423
-0.0501,0.0795,0.2242,0.3489,0.4058
0.0372,0.3411,-0.1475,0.2234,0.2624
-0.1776,0.1636,0.4574,0.5785,0.2819
-0.0568,0.3953,0.2487,0.9589,-0.2184
0.5026,0.1155,0.7497,0.3447,-0.6226
-0.7662,-0.3221,0.1559,0.0263,-1.2124
0.2421,-0.1382,0.5480,-0.1163,-0.4357
0.2535,0.5324,0.0809,0.5882,-0.3548
-0.2525,0.0150,-0.2736,0.0164,-0.8906
-0.8622,-0.3633,-0.1586,-0.0857,-0.6009
-0.4450,-0.0475,-0.5888,-0.2427,-1.6051
0.2846,0.2800,-0.2299,0.1493,0.2195
0.1947,-0.0302,-0.4156,-0.1668,-0.8560
0.6904,0.8208,-0.3151,0.4166,-0.5795
0.0401,0.9561,-0.5899,0.0845,-0.0965
-0.2276,-0.2449,-0.1118,-0.5358,-0.3357
0.1768,-0.0087,0.5323,0.6473,0.2542
-0.8661,-0.8301,-0.5364,-0.4456,0.4109
-1.1344,-1.4545,-0.3898,-1.0528,0.1933
-0.6284,-0.7658,-0.9345,-0.6859,-0.2275
0.1193,0.0671,-0.0684,-0.2699,0.4636
0.2205,0.1423,0.3143,-0.1004,0.9152
0.4188,-0.0546,-0.0458,-0.4308,0.4601
0.6109,0.6196,0.5815,0.1276,0.7321
-0.1084,0.1480,0.4550,-0.1130,0.9510
-0.2622,-0.0615,0.2618,-0.0762,0.7021
0.2568,0.2732,0.0941,0.3691,0.9566
0.0702,-0.1235,0.0631,0.0443,0.1097
-0.4609,-0.4664,-0.1170,0.5315,0.4568
-0.2576,-0.1689,-0.8481,0.2079,0.1679
-0.3459,0.0182,0.0301,0.5169,0.4189
-0.4147,-0.0857,0.1252,0.1351,-0.0941
0.5988,0.4006,0.9781,0.7129,0.2196
-0.0786,-0.1641,1.1224,0.5506,-0.0786
-0.9113,-1.3543,0.2846,-0.6826,-1.3750
-0.2441,-0.1267,0.8760,0.3569,0.6083
-0.1377,0.2756,-0.2207,0.0282,-0.2032
-0.0936,-0.4430,0.8283,0.3335,0.0343
0.0532,-0.0766,0.5321,0.4927,-0.8979
-0.2181,-0.1428,0.5080,0.1966,-1.1896
-0.0613,0.4684,0.8648,0.3745,-0.6481
1.2642,1.5231,0.4529,0.6296,-0.6844
1.3825,1.4570,0.9847,0.7541,-0.2010
0.3654,0.2284,0.5324,-0.1544,-0.3481
0.3804,0.4812,0.8552,0.6261,0.4897
0.0366,0.2675,-0.0744,0.2274,0.0151
0.2255,0.3914,0.1766,0.1263,0.2359
0.7314,1.3371,0.8534,1.0521,0.3588
0.3164,0.7314,0.3504,0.2784,-0.0609
0.2120,0.1309,0.8978,0.3790,0.4477
0.1255,0.8055,0.7961,0.7185,0.6220
-0.5903,-0.4046,-0.3710,-0.6650,-0.2125
-1.1214,-0.6675,-0.2137,-0.6402,0.1065
0.0659,-0.2435,-0.2330,-0.0277,-0.3248
0.6381,0.2792,0.2013,0.3000,0.5377
0.6607,-0.0631,0.5345,-0.1096,0.2281
0.4944,-0.1501,1.0384,0.6014,1.0756
0.2362,0.0860,0.2675,0.2156,0.2025
-0.9786,-1.3045,-0.3872,-1.0562,0.4940
-0.6086,-1.0727,-0.8128,-0.5741,-0.2235
-0.0385,-0.1910,-0.9280,-0.2255,-1.1700
-0.3740,-0.0978,-0.6489,0.0758,-0.8120
-0.6149,-0.4589,-0.4648,-0.6936,-0.7230
0.0289,0.0343,0.4149,0.0923,0.6199
0.5026,0.4437,0.2257,0.2005,-0.6740
0.3579,0.8052,0.7826,0.7214,0.4728
0.2426,0.8043,0.3807,1.1194,0.2999
0.4715,0.9762,0.7805,1.5288,-0.0834
-0.2969,0.3333,0.2876,0.5479,0.0207
-0.2368,-0.5727,0.2832,-0.4771,0.9929
-0.2314,0.0206,-0.2562,0.1103,0.6752
0.2234,0.2430,0.0297,-0.1866,0.7340
-0.1089,0.2342,0.0477,-0.1409,-0.3446
0.0001,-0.2591,-0.0064,-0.2760,-0.6294
0.0145,0.0056,-0.2669,0.4137,-0.2309
-0.1778,-0.4755,-0.3902,-0.2289,-0.5680
-0.6699,-0.4159,-0.8176,-0.6319,-0.5156
-0.9018,-0.7288,-1.0172,-1.5046,0.3707
-0.9221,-0.6790,-1.1097,-0.5074,-0.3532
-0.2471,-0.5614,-0.7878,-0.5633,-0.9054
-0.7815,-0.4951,-0.5235,-0.5142,0.7102
-1.1981,-0.9581,-0.9655,-1.0343,-0.4436
-0.8531,-1.2268,-0.7126,-0.7739,-0.3206
-0.8003,-0.2412,-1.7600,-0.7878,0.9259
-0.5764,-0.2859,-2.0657,-1.2260,0.3813
0.6911,0.6174,-0.9899,-0.0575,1.3402
0.3829,0.4482,-0.8476,-0.0895,0.3051
0.2349,-0.3076,-0.1872,-0.3750,-0.3662
0.4074,0.5396,0.2642,0.7797,-0.4825
0.5804,0.5889,0.1391,0.0359,-1.0132
0.5599,1.0430,0.4101,0.3766,-0.5382
0.0471,0.0422,-0.1611,-0.3972,-0.6900
0.4344,-0.0320,0.2900,0.5142,0.0832
0.0951,-0.6536,-0.6030,-0.2212,-0.0397
-0.0116,-0.5513,-0.4428,-0.2910,0.8539
-0.6089,-0.8099,-0.8572,-0.7872,-0.5104
-0.2229,-0.5812,-0.5142,-0.9599,-0.3855
-0.4992,-0.7810,-0.6787,-1.0330,-0.0817
-0.0317,-0.7298,-0.3890,-0.6246,-0.3653
-0.0633,-0.0541,-0.5525,-0.1082,-0.6579
0.1154,-0.2097,-0.4227,-0.5605,-0.6239
-0.4117,-0.4804,-0.2812,-0.5887,0.1698
-0.1073,0.3641,-0.3118,-0.5591,0.0483
0.2797,0.6361,0.3719,0.5985,0.1909
-0.2547,0.0945,-0.2141,0.1545,-0.0576
-0.6197,-0.0861,0.5254,0.4096,-0.0467
-0.5634,0.0307,-0.0654,0.2017,-0.1718
-0.8265,-0.6770,0.0348,-0.5769,-0.3740
0.0140,0.2563,0.4703,0.6528,-0.1734
-0.1464,-0.0155,-0.3572,0.6259,0.3716
-0.4326,-0.5610,0.2119,0.1875,0.5038
-0.4582,-0.7313,-0.0921,0.3895,1.5904
0.0015,-0.6939,0.0790,0.0314,0.5066
-0.2095,-0.5574,0.4898,0.0455,1.0687
-0.7047,-0.6957,-0.4168,-0.5214,0.5627
-0.3240,-0.2546,0.2251,0.4075,0.5590
-0.0757,0.0079,-0.0301,0.2070,0.1619
0.3515,0.1225,0.6923,0.0556,0.2180
0.4104,0.4847,0.7091,0.7033,-0.5866
1.1932,0.9691,0.7749,0.8156,0.0225
0.8283,1.4467,0.8360,0.8117,0.2493
0.3871,0.7594,0.4914,0.1016,-0.4369
0.5766,0.2736,1.4501,0.3773,1.1965
-0.2840,0.0065,0.5007,0.0923,0.6461
-0.4074,-0.2670,0.3007,-0.4071,0.7955
-0.5033,-0.8498,0.1250,-0.4869,1.4847
0.2676,-0.5562,-0.1589,-0.5426,0.9046
0.4079,0.3996,-0.2474,0.0903,0.9237
0.1214,-0.2204,-0.7135,-0.2310,-0.0641
-0.0763,-0.4092,-0.2138,-0.3408,-0.0084
0.0870,-0.4882,-0.2513,-0.6813,-0.3486
0.2927,-0.1755,0.2661,-0.3596,0.1151
0.1993,0.0902,-0.3821,-0.3707,-0.2277
-0.0467,-0.5997,-0.2843,-0.7926,0.3249
-0.2752,0.4316,-1.1983,-0.4131,0.7784
0.0366,0.3484,-0.4745,-0.5898,1.1392
-0.1742,0.1292,-0.0542,0.2030,0.4411
0.5794,0.5009,0.0691,0.3234,-1.0911
0.9563,0.9941,0.6851,0.9424,-0.2904
0.5584,1.0556,0.4394,0.8938,-0.5489
0.2753,0.8367,0.7530,0.8339,-1.0715
0.5881,1.0038,0.3400,0.8755,-0.4146
0.5668,0.5179,0.6710,0.1436,-0.5166
-0.1600,0.1880,-0.0074,-0.4188,-0.1269
0.8479,0.4626,0.5509,0.3072,0.1214
-0.0354,0.1813,0.1066,0.4857,-0.5431
-0.1916,-0.5383,0.3422,-0.1463,-0.6074
-0.2412,-0.2651,-0.5644,0.1895,-0.9426
0.4587,0.2245,0.4790,0.1810,-0.7617
0.0144,0.1213,0.2406,-0.0131,0.3804
-0.0965,0.0140,0.0237,-0.2147,0.8958
0.5279,0.9277,0.5569,0.8467,1.7055
0.4468,0.2491,0.6123,-0.4584,0.0974
-0.2525,-0.0243,0.8138,0.2056,0.1173
-0.7352,-0.9307,0.0674,-0.4802,-0.5721
-0.8024,-0.9946,-0.3102,-0.9845,0.3493
-0.9564,-1.0521,-1.3155,-1.7908,-0.4995
-0.5079,-1.2391,-0.8479,-1.3946,-1.0441
-0.3641,-0.1726,-1.1016,-0.2511,0.0661
-0.8976,-0.6294,-1.1610,-1.1253,-0.0943
-0.7560,-0.7205,-0.5816,-0.3311,-0.5634
0.4578,-0.2616,-0.6065,-0.0647,-1.1768
0.0831,0.0293,0.3601,0.1724,0.0711
-0.2307,-0.2327,-0.1098,-0.4726,0.9358
-0.0525,-0.4404,-0.0430,-0.1117,1.0176
-0.8208,-0.8294,-0.4253,-0.4951,0.2725
-1.6165,-1.8361,-0.8900,-1.4682,-0.8254
-0.3580,-0.8162,0.4307,-0.0979,-0.3961
0.1733,0.3638,0.2185,0.4523,-0.4037
0.1163,0.1579,0.3302,0.3078,-0.3208
0.2939,-0.2772,0.1695,-0.1209,0.0912
0.3222,-0.1092,0.4454,0.6341,0.2824
-0.3818,-0.0892,-0.2790,0.4183,0.2022
0.4632,0.2072,0.4554,0.7403,-0.1032
0.4454,0.5194,0.3314,0.6808,-0.2779
-0.0329,-0.1200,0.3266,-0.1601,-0.5250
0.8298,0.5035,0.6103,1.1560,-0.5374
0.8695,0.5850,0.3467,0.5049,-0.0030
0.6044,0.4635,0.6018,0.7756,0.2563
0.5786,0.4273,0.5977,0.3311,0.1664
0.6232,0.4276,1.0003,0.4842,-0.3189
-0.3747,0.0582,-0.2140,-0.1635,-0.7944
-0.4728,-0.5993,-0.4175,-0.5142,-0.1608
-0.6265,-0.5079,-1.0286,-0.4409,0.6268
-0.9441,-0.7695,-0.7911,-0.6866,0.4262
-0.9599,-0.3583,-0.9194,-0.5654,-0.3975
-0.8064,-0.2898,-1.2290,-1.1224,-0.7278
-0.4991,-0.2350,-0.4983,-0.9764,-0.4513
0.0585,0.4826,-0.7182,-0.8707,1.2541
0.0414,0.2135,-0.1243,-0.8527,1.3268
0.5536,0.7812,0.2305,0.5562,1.3048
0.1755,0.3159,0.2430,-0.1268,0.2473
-0.1400,0.4035,0.3581,0.0541,-0.2563
0.2802,0.5260,0.3932,0.0820,-0.1104
0.5503,0.5469,0.5237,0.6210,-0.3969
0.0600,0.5293,0.1843,0.2250,0.0608
0.5984,0.5203,0.8973,0.3312,-0.7199
0.7264,1.0024,0.5385,0.9648,-0.1236
0.1637,0.1812,0.3687,-0.1087,0.3212
-0.4767,-0.5982,-0.2153,0.1999,0.2195
-0.1301,-0.8913,-0.3177,0.1912,0.6226
0.2419,0.1053,0.2151,0.4209,0.8208
-0.5731,-0.0692,-1.0598,-0.1550,0.1264
0.1382,-0.5083,0.1529,-0.2444,-0.5161
0.3831,-0.1245,-0.3158,0.4462,1.2027
0.0221,-0.0705,-0.0397,0.0467,0.3398
-0.1816,0.1904,-0.1459,0.4813,0.8139
-0.2089,-0.2084,0.1473,0.0781,1.1499
-0.1433,-0.6161,0.4068,-0.1113,-0.5574
-0.9447,-0.4677,0.0025,-0.5075,-0.3519
0.5011,0.2669,0.7043,0.8244,-0.3749
0.1362,0.6961,-0.0056,0.6076,-0.1164
-0.4024,-0.4770,-0.5206,-0.8230,-0.6441
0.5969,0.1789,0.3065,0.0548,-0.4641
-0.2026,0.2287,0.0390,0.1406,-0.0772
0.0088,-0.2907,0.6480,0.3037,-0.9116
0.5243,0.4959,0.8075,1.2198,0.3151
1.1830,0.6787,0.8523,1.0471,-0.2286
0.6546,0.9338,0.5421,1.0936,-0.0801
0.7473,1.0513,0.4926,0.7372,0.0098
1.2538,1.8151,0.5580,1.5842,0.2156
0.9231,1.4993,0.2130,1.0910,0.7101
-0.0685,0.1954,0.1891,0.2898,0.3872
-0.7979,-0.2591,-0.3362,-0.6118,1.0500
-0.6916,-0.5360,-1.0277,-1.1367,0.6707
-0.6789,-0.3314,-1.2718,-1.0743,1.2259
-0.4964,-0.4861,-1.2824,-1.3272,1.2546
0.4842,-0.0103,0.1184,0.5603,0.4006
0.4011,0.7055,0.1047,0.8092,0.8304
0.9373,1.2263,0.9509,1.2215,0.3114
1.0385,1.6554,0.7756,1.1048,-0.1336
0.6563,1.2336,0.5282,0.2782,0.0397
0.5918,0.7659,1.0732,0.4590,-0.6859
0.3762,0.5416,-0.2987,0.3240,-0.0835
