IPL_R,IPL_L,mPFC_L,mPFC_R,MFG_L,MFG_R,MTG_L,MTG_R,PCC_L,PCC_R
0.6580,0.0692,-0.4871,0.1148,0.5059,0.7045,1.1680,0.2521,0.5715,0.6375
-0.0319,-0.7175,-1.4093,-0.8430,-0.2372,-0.6895,0.7361,-0.2867,-0.0614,-0.1518
-0.5383,-0.6035,-1.4006,-1.0976,-0.4935,-0.8859,-0.4812,-0.5052,-0.4912,-0.3593
0.1743,0.1866,-0.8172,-0.3723,0.3781,-0.6667,0.5202,0.2325,0.1386,0.2243
-0.1774,0.0034,-0.0770,-0.2709,-0.2254,-1.1049,1.0870,0.4706,0.0236,-0.3773
-0.1773,-0.3283,-0.5879,-0.6801,-0.4350,-0.9581,0.0960,0.8650,0.2323,0.2037
0.2604,0.0021,0.4864,-0.5441,-0.1024,-0.4790,1.0746,0.2596,0.4215,0.5309
1.0447,0.6276,-0.7515,-1.0438,-0.2605,-0.3217,-0.4003,-1.0686,0.1302,-0.0018
0.6074,0.2286,-0.7637,-0.6700,-0.5610,0.2873,0.1094,0.2645,-0.4262,-0.4731
-0.1764,-0.2355,-0.2568,-0.1796,0.3994,0.7152,-0.5335,-0.0219,-0.6294,-0.4582
0.2265,0.2808,0.0919,0.0815,0.4968,0.1002,-0.8700,0.1235,0.2024,0.1911
-0.4990,-0.3053,0.3697,-0.1339,0.4446,0.2066,0.3294,-1.0643,-0.1506,-0.1758
0.0648,0.3139,0.0698,0.0745,0.3989,0.2071,0.7306,-0.8672,0.2225,0.1326
-0.0825,0.1720,0.2377,0.2078,0.4322,0.3444,0.6211,-0.5953,-0.2712,-0.1084
0.0078,0.3382,-0.1270,0.2562,0.0597,0.3189,-0.1598,-0.3782,0.2973,0.6349
0.2455,0.1253,0.2244,0.5339,0.7262,0.7833,-1.9260,0.2902,0.1261,0.3769
0.3360,0.1989,0.0112,0.2895,0.1837,0.5862,-0.9347,-0.1555,0.5174,0.7364
0.3274,0.1591,0.4585,1.1644,0.3357,1.0106,0.5848,-0.5657,0.4300,0.5238
0.5354,0.4831,0.3302,0.8745,0.0896,1.0686,-1.2134,0.0131,0.7151,0.8610
0.2726,0.0126,0.1759,0.8472,-0.2675,1.0520,-0.3585,-0.3397,0.1267,-0.0498
-0.3208,-0.7917,-0.7275,-0.2207,-1.6511,0.1375,-1.6967,-0.1725,-0.6093,-0.3207
-0.4492,-1.2683,-0.6346,-0.3874,-1.2680,-0.7402,0.7308,-0.6654,-0.7272,-0.6459
-0.3432,-1.2718,-0.1971,0.0069,-0.7248,-0.4086,0.3973,-0.5422,-0.7031,-0.4821
0.1992,-0.2170,0.3025,0.2113,-0.7315,-0.3542,0.1690,0.6692,-0.0308,0.0086
-0.2974,0.0350,0.7081,0.8666,0.5609,0.9502,-0.0880,-0.1147,-0.0351,0.1665
0.5443,0.4729,1.2143,1.2504,0.4610,0.7062,-0.1580,0.6585,0.5702,0.7300
0.6293,0.9925,1.1839,0.9828,0.3749,0.7988,0.3398,0.2591,0.3500,0.3295
0.5371,0.9892,0.7473,0.5946,0.6140,0.5960,0.0104,0.9813,1.0104,0.9389
