A1_L,A1_R,A2_L,A2_R,PCG_L
-0.4982,-0.0152,-1.2444,-0.7021,0.3782
0.3941,0.9264,-0.9964,-0.1573,-0.3733
0.8221,1.8133,-0.0881,0.7652,-0.1482
0.3534,0.5382,-0.1653,0.5038,-0.0804
0.0239,-0.4626,-0.3565,0.6471,-0.6321
-0.1658,-0.7394,-0.1369,0.2285,0.0018
-0.4910,-1.1742,-0.0923,-0.2243,-0.2045
-0.4512,-0.8224,0.0242,0.3189,0.0767
-0.3563,-1.1223,0.5448,0.1230,-0.3028
-0.0048,-0.7600,0.5286,0.1501,-0.8716
-0.8233,-0.4753,0.3810,-0.1132,-0.6820
-0.4658,-0.2282,0.6124,0.2400,0.0186
0.0626,-0.2388,0.7020,0.3223,1.0235
-0.0447,-0.1276,-0.3738,-0.2553,-0.4126
0.2685,-0.1841,0.4752,0.0699,0.5664
0.5156,0.0012,0.3538,0.2885,0.2752
0.0572,-0.0550,0.6426,0.7483,-0.2718
-0.1914,0.0973,0.1251,0.4037,0.2787
-0.5498,-0.2877,-0.1784,-0.0270,0.1366
-0.4369,-0.6519,-0.2931,-0.3022,0.9821
-0.4151,-0.4330,-0.6353,-0.4744,-0.1092
0.1998,-0.1606,-0.5459,-0.0897,0.5363
0.7388,0.0060,0.0019,0.1479,0.3499
0.1661,-0.1594,0.0527,0.2308,-0.2409
-0.7647,-0.4354,0.3923,0.0348,0.7412
-0.1010,-0.0691,0.2829,-0.0534,0.3808
0.9228,1.0692,0.5141,0.6052,0.3982
0.9311,1.4112,0.0609,0.6642,0.0446
0.0272,0.7564,-0.3087,-0.0973,-0.3195
-0.8621,-0.2257,-0.5478,-1.1702,-1.0806
-0.2356,-0.0435,-0.4950,-0.5304,-0.6108
0.5423,0.5006,0.2244,0.0388,-0.3557
0.4767,0.5819,0.3010,0.0457,-1.1461
0.5983,0.6285,0.5900,0.2980,-0.3678
0.0452,0.0126,0.3108,0.0903,-0.2196
-0.3855,-0.3435,0.1474,0.2171,-0.0123
-0.4123,-0.2589,0.1313,-0.1435,0.0413
-0.7552,-0.1711,-0.6813,-0.1463,0.4535
-0.5481,0.0641,-0.8059,-0.1151,0.4152
0.2660,-0.0326,-0.4042,-0.2741,-1.0285
-0.1487,-0.1455,-0.5105,-0.4263,0.7296
-0.1963,0.1178,-0.6704,-0.5337,0.3845
0.7207,0.8327,0.4834,0.2221,0.8986
0.5793,1.1275,0.4678,0.4086,0.1957
-0.3182,0.0284,-0.0288,-0.0837,-0.7976
-0.1328,-0.1468,-0.5278,-0.4705,-0.2800
-0.1897,-0.5598,-0.5078,-1.1431,-0.7094
0.8936,1.0045,0.0633,-0.2312,0.3668
1.0865,1.6223,0.1385,-0.0309,-0.0428
1.4675,1.7308,0.7775,0.2105,-0.0702
0.7472,1.0062,0.3866,0.0240,-0.2920
0.2077,-0.0450,0.2146,-0.4335,-0.3471
-0.3182,-0.6981,-0.0548,-0.4829,0.5481
-0.9327,-1.2136,-0.4236,-0.4676,0.0150
-0.8831,-1.2021,-0.1125,-0.4726,0.7761
-0.6595,-1.0314,-0.4427,-0.2235,-0.1496
-0.5806,-0.4239,-0.3662,-0.2050,1.0653
0.2212,-0.0784,-0.3848,-0.2222,0.7000
-0.0146,-0.1204,0.0714,-0.3609,0.8010
