IPL_R,IPL_L,mPFC_L,mPFC_R,MFG_L,MFG_R,MTG_L,MTG_R,PCC_L,PCC_R
0.6541,1.6364,1.0070,0.6241,0.8288,0.6952,1.0689,0.4179,0.5337,0.9835
-0.1347,1.2693,-0.0235,-0.2953,0.4257,0.6879,0.1122,-0.4739,0.2773,0.4406
-0.7147,0.1579,-0.7572,-1.1222,-0.5777,-0.3228,-1.9418,-0.6736,-0.4199,-0.5226
-0.4914,-0.0249,-0.6825,-0.9349,-0.2607,-0.6300,0.1262,-0.8056,-0.4131,-0.4133
0.0447,0.1043,-0.1004,-0.7035,-0.1451,-1.0997,0.4322,-0.1843,-0.0748,-0.1458
-0.0590,0.0161,-0.2240,-0.4539,0.6498,-0.4877,-0.0023,-0.0011,-0.2346,-0.5004
0.2519,0.3358,0.8860,0.4951,0.8928,-0.2176,0.0584,-0.3715,0.3066,-0.0755
0.2692,0.3053,0.7908,0.9369,0.8219,0.0655,-0.1096,0.4866,0.4163,0.3815
0.9684,0.2315,0.8008,1.3381,-0.2348,0.1811,-0.7071,0.5952,0.8348,1.3347
1.7025,0.2190,0.7977,1.2412,-0.3278,0.5724,-0.7832,0.8363,1.0298,1.4719
1.3032,0.2673,0.6249,1.4893,0.2027,0.8599,-0.9427,-0.1763,1.1862,1.5014
0.9165,-0.0866,0.8430,1.0298,-0.6705,0.2984,0.3866,-0.0088,1.2545,1.3885
0.5871,-0.2744,0.6552,0.7792,-0.5254,0.3166,-0.3667,0.7908,0.8534,0.8224
0.1958,-0.0008,0.6425,0.6356,-1.1032,-0.5923,-0.6387,0.8155,0.5633,0.4695
-0.6366,-0.2443,-0.6286,-0.3404,-0.7621,-0.2518,1.4264,0.1509,-0.5484,-0.7104
-0.1867,0.0005,-1.2145,-1.3514,-0.4366,-0.0632,0.4067,-0.3963,-0.6183,-0.2616
0.0465,-0.0847,-0.8079,-0.7916,-0.2832,0.0736,-0.0336,-1.0194,-0.5540,-0.1866
-0.0723,-0.1712,-0.9749,-0.8819,0.0371,0.2881,-0.4851,-0.5239,-0.4840,-0.3879
-0.3043,-0.2043,-0.4253,-1.0267,-0.2236,-0.2357,0.1727,0.2305,-0.7138,-1.0902
-0.8400,-0.3102,-0.7608,-1.1198,0.2247,-0.3999,0.4441,0.0525,-1.2001,-1.4954
-0.5833,0.0239,-0.5588,-0.9049,-0.2012,-1.1607,0.4039,0.0266,-1.0029,-1.0185
-0.9266,0.6051,-0.6407,-0.6339,0.0940,-0.7334,1.1211,0.8071,-0.6131,-0.6181
