A1_L,A1_R,A2_L,A2_R,PCG_L
-0.2046,0.3837,0.2675,-0.2187,0.2661
-0.6486,-0.2048,0.3012,-0.4675,-0.2204
-0.4064,-0.2315,0.0061,-0.6284,-0.8720
-0.8031,-1.0148,-0.6297,-1.1570,-0.5192
-0.8211,-0.9876,-0.8034,-0.9255,-0.9407
-0.7241,-0.9887,-0.6257,-1.0165,0.0978
-0.0154,-0.1421,-0.3786,-0.2483,0.0698
-0.2228,-0.5984,-0.5505,-0.4931,0.3494
-0.0114,-0.7265,0.0163,-0.7656,-0.4136
-0.3836,-0.6245,-0.2876,-0.6044,0.5985
-0.3128,-0.0960,-0.5557,-0.7950,0.3674
-0.1323,0.3273,-0.3655,-0.7501,-0.4790
-0.6599,-0.0377,-1.3320,-1.3568,-0.5417
-0.5507,-0.4840,-1.8222,-1.7224,-0.9142
-0.8586,-0.6892,-1.4448,-1.0161,-0.7048
-0.3509,-0.6433,-0.8039,-0.8692,-0.3180
-0.0140,-0.0905,-0.1155,-0.4788,0.0353
0.3872,0.2730,-0.2950,-0.0291,0.2719
0.4530,0.3697,0.3519,0.6489,0.2342
0.9627,0.6746,0.6992,0.8826,0.5073
0.3021,0.2551,0.7583,0.5106,0.0894
0.9361,0.6966,1.0710,1.2278,-0.3404
0.6130,0.4959,0.8827,0.8961,0.7714
1.3664,0.8757,0.7589,1.1073,0.9037
0.2427,0.2767,0.2507,0.3933,1.1541
0.4624,0.6122,0.6265,0.5652,0.5313
0.7416,1.0294,0.7302,0.8213,0.5202
0.3188,0.6090,0.5677,0.8918,0.7421
0.2309,0.3984,0.4567,0.1931,0.4051
0.6601,0.8366,0.4177,0.7636,-0.3621
0.5040,0.2048,0.7866,0.5769,0.3252
0.5526,0.6172,1.0033,0.9875,-0.0996
0.5061,0.0423,1.0711,0.6309,0.2155
0.6255,-0.0015,0.9120,0.8362,1.0195
0.0765,-0.1538,0.1920,0.3412,0.4859
0.1934,0.2998,0.2925,0.8217,0.3971
-0.1884,0.2177,-0.0985,0.3089,0.1461
-0.0871,0.2118,-0.0169,0.6534,-0.2871
-0.9739,-0.8694,-0.4004,-0.1352,0.1307
-0.7343,-0.6156,-0.8177,-0.2463,-0.4318
-0.1444,0.2297,-0.7790,0.1440,-0.1051
-0.1508,0.1038,-0.6122,-0.0431,0.2503
0.5095,0.4351,-0.3502,0.2687,-0.1610
0.3223,-0.1479,0.2677,0.0636,0.4450
-0.2144,-0.0949,-0.0225,0.1089,0.2312
-0.3234,-0.1123,0.2014,-0.1068,-0.1341
0.1477,0.2438,0.3927,0.2439,0.3699
-0.0807,-0.5241,0.7739,-0.0348,-0.3789
-0.0389,-0.2963,0.9227,0.2402,-0.1569
-0.2542,-0.4265,0.2691,0.0150,-0.2432
-0.1540,-0.1616,0.4123,0.5215,-1.2190
-0.0279,-0.0190,0.1336,0.3455,-0.0997
0.6259,0.8430,0.1850,0.9055,-0.9258
0.1895,0.7193,0.6092,1.0759,-0.6663
-0.3047,0.0659,0.0496,-0.1263,-0.3343
0.0618,0.4848,0.1021,-0.3939,-0.6811
0.0847,0.4911,0.3359,-0.0361,-0.1266
-0.4380,-0.2599,0.0328,-0.1399,-0.0843
-0.5992,-0.3649,-0.2683,-0.3749,-0.8059
-0.4964,-0.4043,-0.1943,-0.4417,-1.1275
-0.5646,-0.3337,-0.0163,-0.6072,-0.8469
-0.1242,0.5485,0.0180,-0.1061,-0.7789
-0.1811,0.3091,-0.2311,0.1291,0.0630
-0.5361,0.0972,-1.1732,-0.6714,0.0484
-0.3450,0.1067,-1.0750,-0.3851,-0.2829
-0.6899,-0.3099,-0.6979,-0.3851,-0.6166
-0.5257,-0.3542,-0.4766,-0.0038,-0.8418
-0.7190,-0.6962,-0.6572,-0.1460,-0.5967
-0.0632,-0.1666,-0.0697,0.7723,-0.5618
0.2362,-0.3228,0.3433,0.3993,0.1240
0.8318,0.2013,0.6950,0.8561,0.0640
0.3887,-0.4406,0.8841,0.6532,0.0926
0.9487,-0.4307,1.2163,0.8573,-0.0943
0.4787,0.2673,0.9415,0.6603,-0.3317
0.4709,0.2800,0.5660,0.2218,0.8088
0.1996,-0.0426,0.5624,0.1758,0.1738
-0.1035,-0.3784,-0.0799,-0.2234,0.4091
-0.2638,-0.5261,0.3795,-0.2884,1.0533
-0.3704,-0.4743,0.4734,-0.0076,0.8591
0.2001,-0.3109,0.3849,-0.0523,0.8040
0.3330,-0.1781,0.2917,0.0144,0.2930
0.4164,-0.1613,-0.3333,-0.0292,-0.5398
-0.7342,-1.2472,-0.9622,-1.0761,0.0552
-0.1038,-0.7916,-0.7513,-0.7169,-0.0019
-0.0512,-0.0748,-0.3207,-0.3440,0.6962
0.0512,0.1200,-0.5870,-0.0373,0.1722
-0.0960,0.3989,-0.7143,0.0202,0.0569
0.2730,0.3818,-0.7340,-0.2219,0.5878
1.1101,1.3317,-0.4048,0.1924,0.5763
0.5815,0.8550,0.1568,0.3398,0.1664
0.4719,0.4630,-0.0270,0.2332,0.4853
-0.8785,-0.9044,-1.9795,-0.6539,0.7863
-0.1157,-0.5933,-1.0115,-0.5499,1.0896
0.2838,0.0334,-0.8351,-0.2660,0.3945
0.3477,0.5198,-0.7971,0.1422,0.5652
0.5497,0.5097,-0.0231,0.1578,0.3727
0.2392,0.9583,0.2761,0.6173,-0.2221
0.6037,0.3893,0.3594,0.3216,0.3406
0.6669,0.5696,1.0421,0.6927,0.6169
0.5700,0.5574,0.8625,0.8960,0.8613
0.1681,0.3783,0.4648,0.5773,1.0722
0.3111,0.3031,0.1706,0.0842,1.0828
0.8473,0.4035,0.4783,0.3734,0.6889
0.2951,0.0667,0.1510,-0.1992,0.7601
0.3742,0.1943,0.3123,0.0832,-0.2021
0.3217,0.0723,-0.0213,-0.4204,0.6693
0.2190,0.1196,-0.1432,-0.5299,0.0282
0.4910,0.3738,-0.2591,-0.4395,0.5755
0.6189,0.1921,-0.1128,-0.6179,-0.0555
0.4683,0.3104,0.2315,0.0758,0.1147
-0.2574,-0.3114,-0.0925,-0.2442,0.5360
-0.2747,-0.4234,-0.3478,-0.6001,-0.2017
0.0337,-0.1353,0.1049,-0.2899,-0.2583
-0.5430,-0.3617,-0.3679,-0.4688,-0.2037
-0.0481,-0.2729,0.1771,0.0560,0.1245
-0.1728,-0.2939,0.2503,-0.1675,0.2602
0.1318,-0.0064,0.2945,0.4576,-0.3277
-0.0384,-0.1929,0.6746,0.2984,0.0968
0.5161,-0.0325,1.0228,0.1307,0.2159
0.5924,0.2079,0.0877,-0.0413,-0.1236
0.0168,0.1954,0.1319,0.1193,0.3877
0.4593,0.3978,0.2670,0.2898,0.1828
0.4688,0.0954,0.5880,0.1089,0.3472
0.8400,0.9600,0.9496,0.7279,0.0828
0.5845,0.8127,0.7812,0.7370,0.1974
0.5464,0.1135,0.5920,0.1503,-0.2542
0.7124,0.0909,0.8620,0.3337,-0.5783
0.5167,-0.0728,1.1067,0.5546,-0.4577
0.6737,0.1535,0.7037,0.7108,-0.7984
0.0744,0.0182,0.3786,0.3383,-0.2127
-0.1918,-0.1409,-0.4479,-0.5253,-0.5517
-0.4172,0.1341,-1.0234,-0.5782,0.1666
-0.6489,0.1085,-0.7451,-0.5252,0.0448
-0.3364,0.2624,-1.0644,-0.6145,-0.1856
-0.3214,0.2687,-0.7069,-0.6946,0.2113
-0.5011,0.1939,-0.9742,-1.3267,0.1703
-0.8147,-0.4199,-1.2279,-1.2835,-0.2434
0.0846,0.1327,-0.7319,-0.9238,0.2081
0.2611,-0.0096,-0.0077,-0.5219,0.4515
0.1544,-0.1931,0.0631,-0.6527,0.1360
0.7624,0.4761,0.2387,0.2507,0.5110
0.3588,0.2689,0.8401,0.5919,-0.1282
0.5175,0.0729,0.9684,0.9625,-0.3546
0.0891,-0.3527,1.1972,0.5993,-0.0169
-0.1965,-0.5104,0.9565,-0.1631,-0.5638
