IPL_R,IPL_L,mPFC_L,mPFC_R,MFG_L,MFG_R,MTG_L,MTG_R,PCC_L,PCC_R
0.9822,1.3258,-0.7024,-1.0839,1.1888,0.7671,-0.0352,-1.5395,1.1560,1.0784
1.0229,1.4326,-0.4269,-0.5049,0.7860,0.5465,-1.0880,-0.8918,1.0952,0.8525
0.8017,0.8297,-0.2544,-0.6481,0.0070,0.1821,-1.2303,-0.8310,0.6035,0.5583
0.6798,0.8166,-0.3629,-0.3588,0.1263,0.0379,0.0564,0.5232,0.5727,0.3722
0.5614,0.8956,0.3365,-0.0026,0.4000,0.6422,-0.6476,0.6929,0.6734,0.6701
0.3471,0.5634,0.9385,0.5821,0.4899,0.5339,0.3979,0.1589,0.6691,0.4921
-0.1453,0.6583,1.4444,1.0831,0.8153,0.4294,0.4627,0.5199,0.7872,0.6025
-0.2892,-0.0637,1.2326,1.0229,0.5752,-0.3093,-0.8953,-0.0632,0.3625,0.3217
0.1506,0.0147,0.5777,0.1107,-0.1888,-0.1108,0.6674,-0.5984,0.3675,0.4602
0.2773,-0.1864,-0.3134,0.1458,0.0324,0.3630,-0.0695,-1.2439,0.1140,0.4300
-0.0331,-0.0707,-0.5207,-0.5571,-0.8809,0.0372,0.5662,0.7906,0.3357,0.5053
-0.1419,-0.4742,0.0867,0.1933,-0.3410,-0.0965,-0.1973,-0.1528,-0.0721,0.3664
-0.2951,-0.3463,0.5346,0.2166,-0.4732,-0.0794,0.0273,0.2219,0.0495,0.4579
0.0948,-0.3182,0.1888,-0.3460,-0.3825,-0.2015,0.8918,1.1244,0.0737,0.4330
0.1170,-0.2280,-0.3227,-0.3331,-0.5420,-0.6188,0.0451,1.0655,0.1603,-0.0734
-0.1700,-0.5584,-0.2364,0.1883,-0.4979,-0.4674,0.3113,-0.1741,-0.4193,-0.4351
-0.1143,-0.4038,-0.0510,-0.0445,-0.8822,0.0158,0.0568,-0.3318,-0.3436,-0.2178
-0.7036,-0.7416,0.5471,0.3880,-0.2407,-0.2143,0.8994,0.3149,-0.6844,-0.7832
-0.8400,-0.8478,0.7645,0.5245,-0.3572,-0.9075,0.7984,0.2809,-0.5423,-0.7087
-0.8013,-0.5782,0.9574,0.7204,0.6739,-0.1183,0.2919,0.2719,-0.6358,-0.4868
-0.3266,-0.0204,0.5410,0.4578,1.0676,-0.2118,-0.6834,0.4561,-0.1666,-0.2127
-0.4394,0.0642,0.8355,0.8816,0.7786,0.3806,-0.0283,0.5933,-0.1285,-0.3353
-0.0364,0.3455,0.4782,0.6315,0.7955,0.6215,0.7562,0.0698,-0.1062,0.0277
0.0577,0.3614,0.0128,0.0682,0.2459,0.4736,0.3522,0.4699,-0.1425,0.0888
